"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.13347,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.05202,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-02",97.94981,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-03",98.09703,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-04",98.36582,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-05",98.53045,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-06",98.51667,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-07",98.47263,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-08",98.59418,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-09",98.86281,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.27734,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.71483,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-12",100.0341,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.2508,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.4414,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.5623,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.5771,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.6064,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.6183,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.5295,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.4161,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.3795,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.4002,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.3747,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.354,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.3447,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.3777,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.4577,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.4959,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.5822,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.6768,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.7125,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.7584,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.7847,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.7929,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.8136,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.7566,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.5905,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.3877,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.2322,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.1975,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.2441,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.3361,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.3593,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.4417,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.6355,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.8346,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.9464,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.0103,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.0622,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.1414,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.168,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.1348,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.0684,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.1101,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.2168,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.2724,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.2644,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.2625,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.2392,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.2478,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.2337,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.2145,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.1998,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.1632,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.116,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.1084,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.1121,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.0391,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-09",100.9151,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.717,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.4964,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.2488,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.0158,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",99.89715,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.77789,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-12",99.74766,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-01",99.94007,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-02",100.0942,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-03",100.1727,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-04",100.1985,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-05",100.1946,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-06",100.176,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-07",100.1726,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-08",100.2253,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-09",100.3682,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-10",100.554,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-11",100.7232,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-12",100.8298,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.8848,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.8979,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.8715,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.837,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.8271,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.8574,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.8828,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.8329,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.6513,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.4114,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.2101,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.1207,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.1066,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.1198,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.1231,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.0861,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-05",99.96664,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-06",99.73241,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-07",99.46556,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-08",99.27658,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-09",99.2511,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-10",99.31863,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-11",99.39147,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-12",99.41066,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-01",99.38647,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-02",99.33959,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-03",99.28561,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-04",99.24218,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-05",99.23283,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-06",99.28029,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-07",99.36561,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-08",99.47417,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-09",99.60371,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-10",99.74919,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-11",99.90951,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.0783,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.2198,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.2765,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.2039,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.0896,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.0531,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.1856,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.413,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.6414,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.8069,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.9252,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.0207,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.1027,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.1652,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.1815,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.1192,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.0015,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-05",100.8477,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-06",100.6705,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-07",100.5078,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-08",100.4127,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-09",100.4285,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.4964,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.5426,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.5142,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.436,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.34,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.38959,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.38225,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-02",98.34607,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-03",98.25517,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-04",98.14324,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-05",98.04386,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-06",98.11744,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-07",98.37405,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-08",98.67515,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-09",98.83849,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-10",98.81905,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-11",98.71138,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2013-12",98.72388,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-01",98.78936,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-02",98.83871,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-03",98.85597,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-04",98.81391,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-05",98.76219,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-06",98.73388,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-07",98.75195,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-08",98.75219,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-09",98.7308,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-10",98.75922,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-11",98.88505,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-12",99.07342,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-01",99.26199,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-02",99.42867,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-03",99.52344,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-04",99.55789,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",99.52543,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",99.5024,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",99.49982,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",99.59182,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",99.72244,
